,time,thscode,open,high,low,close,avgPrice,changeRatio,volume,amount
0,2017-01-03,AU9999.SHG,264.04,265.2,258.0,263.65,263012.8084805,-0.0947,25727.72,6766719893.0
1,2017-01-04,AU9999.SHG,263.99,265.0,263.2,264.87,263900.06632735,0.4627,39495.02,10422738397.6
2,2017-01-05,AU9999.SHG,265.98,265.98,264.0,264.73,263996.77830933,-0.0529,32353.82,8541304246.0
3,2017-01-06,AU9999.SHG,264.9,265.65,263.5,265.29,258408.58260921,0.2115,32280.3,8341506569.2
4,2017-01-09,AU9999.SHG,265.06,266.0,264.66,265.89,262149.22355395,0.2262,26863.94,7042361012.6
5,2017-01-10,AU9999.SHG,265.89,268.6,265.89,268.11,260711.32399161,0.8349,34177.86,8910555131.8
6,2017-01-11,AU9999.SHG,268.88,269.88,268.0,269.09,266065.02053515,0.3655,32032.88,8522828875.0
7,2017-01-12,AU9999.SHG,269.0,269.77,266.75,269.33,267913.78656832,0.0892,45750.66,12257232558.6
8,2017-01-13,AU9999.SHG,270.6,270.6,268.42,268.79,266309.87550283,-0.2005,32794.32,8733451276.4
9,2017-01-16,AU9999.SHG,269.0,270.99,268.15,270.5,267544.63064319,0.6362,22754.42,6087822894.4
10,2017-01-17,AU9999.SHG,270.98,272.51,270.0,272.18,269120.98321654,0.6211,24975.78,6721506470.2
11,2017-01-18,AU9999.SHG,273.0,273.0,270.95,271.03,267584.85435808,-0.4225,30412.26,8137860162.8
12,2017-01-19,AU9999.SHG,273.0,273.0,268.0,268.03,265645.8970472,-1.1069,28088.6,7461621343.8
13,2017-01-20,AU9999.SHG,268.99,269.36,268.0,269.05,265444.79757515,0.3806,25057.2,6651303381.8
14,2017-01-23,AU9999.SHG,269.33,271.0,268.15,270.28,269840.2872982,0.4572,28536.9,7700405294.6
15,2017-01-24,AU9999.SHG,270.48,270.66,269.7,269.85,266643.64875908,-0.1591,23837.2,6356037984.2
16,2017-01-25,AU9999.SHG,270.49,271.15,267.7,268.07,266595.61343487,-0.6596,25750.9,6865076982.0
17,2017-01-26,AU9999.SHG,268.99,268.99,265.8,266.25,261357.13178461,-0.6789,4662.76,1218645579.8
18,2017-02-03,AU9999.SHG,266.25,270.1,266.25,269.3,268941.40180744,1.1455,8327.82,2239695584.8
19,2017-02-06,AU9999.SHG,268.01,272.4,267.3,271.79,271784.91664921,0.9246,20912.82,5683789040.6
20,2017-02-07,AU9999.SHG,272.2,274.7,272.2,274.16,273265.20896968,0.872,27291.04,7457691748.6
21,2017-02-08,AU9999.SHG,274.2,275.39,273.85,274.35,274759.95122243,0.0693,26036.56,7153803955.6
22,2017-02-09,AU9999.SHG,275.97,277.65,275.51,276.31,275393.77848494,0.7144,20488.9,5642515588.0
23,2017-02-10,AU9999.SHG,276.2,276.69,272.8,272.83,273778.01946081,-1.2595,23756.46,6503996568.2
24,2017-02-13,AU9999.SHG,273.97,275.01,273.1,274.64,274361.33408877,0.6634,19591.2,5375067768.4
25,2017-02-14,AU9999.SHG,274.98,274.98,272.7,274.06,273212.73782133,-0.2112,24930.48,6811324696.0
26,2017-02-15,AU9999.SHG,274.49,274.59,273.0,273.4,273437.29270805,-0.2408,21005.64,5743725333.2
27,2017-02-16,AU9999.SHG,273.99,275.45,272.1,274.93,273564.94542252,0.5596,32060.84,8770721944.8
28,2017-02-17,AU9999.SHG,275.5,276.1,275.11,275.75,272775.98182798,0.2983,28661.64,7818206991.8
29,2017-02-20,AU9999.SHG,275.75,276.66,274.9,275.5,274413.03301898,-0.0907,18287.06,5018207599.6
30,2017-02-21,AU9999.SHG,276.49,276.49,275.01,275.55,274244.42426546,0.0181,23312.48,6393317655.8
31,2017-02-22,AU9999.SHG,274.86,276.45,274.5,275.6,275030.79596297,0.0181,19905.7,5474680515.2
32,2017-02-23,AU9999.SHG,276.48,276.48,275.3,276.2,275285.82739341,0.2177,50573.04,13922041160.2
33,2017-02-24,AU9999.SHG,276.59,279.84,276.01,279.63,276317.68763266,1.2419,43323.48,11971043813.8
34,2017-02-27,AU9999.SHG,281.2,281.2,278.81,280.6,279470.03638385,0.3469,21690.94,6061967791.0
35,2017-02-28,AU9999.SHG,280.4,281.9,279.45,281.83,277035.89200909,0.4383,16807.34,4656236429.2
36,2017-03-01,AU9999.SHG,280.0,280.35,277.4,278.0,278658.94685267,-1.359,20573.0,5732850513.6
37,2017-03-02,AU9999.SHG,278.0,279.43,277.0,278.35,278528.62398337,0.1259,20383.62,5677421630.4
38,2017-03-03,AU9999.SHG,278.49,278.5,275.7,276.23,276682.76498116,-0.7616,25031.78,6925862102.8
39,2017-03-06,AU9999.SHG,275.5,277.0,275.39,276.54,274838.7547833,0.1122,32833.0,9023780835.8
40,2017-03-07,AU9999.SHG,276.5,276.9,275.3,275.37,275093.40457404,-0.4231,24619.82,6772750103.8
41,2017-03-08,AU9999.SHG,275.9,275.9,273.71,273.79,272791.88280263,-0.5738,22180.02,6050529416.4
42,2017-03-09,AU9999.SHG,274.6,274.6,271.8,272.22,271777.28375691,-0.5734,27685.74,7524355216.0
43,2017-03-10,AU9999.SHG,272.69,273.49,270.2,270.41,270598.40533565,-0.6649,22424.28,6067974408.8
44,2017-03-13,AU9999.SHG,271.78,274.15,270.12,272.9,271764.42236358,0.9208,39624.06,10768409777.6
45,2017-03-14,AU9999.SHG,271.0,273.88,270.15,271.3,270968.27293022,-0.5863,30335.08,8219844236.8
46,2017-03-15,AU9999.SHG,272.0,272.1,271.0,271.51,271080.74163331,0.0774,28357.68,7687220925.4
47,2017-03-16,AU9999.SHG,271.4,276.2,271.0,275.89,272007.94472722,1.6132,30086.42,8183745268.4
48,2017-03-17,AU9999.SHG,275.02,276.48,275.01,275.62,272914.4476243,-0.0979,31657.62,8639821875.4
49,2017-03-20,AU9999.SHG,275.62,277.2,275.62,277.07,276240.09988624,0.5261,22749.88,6284429123.6
50,2017-03-21,AU9999.SHG,276.7,277.25,275.7,275.75,275105.1769812,-0.4764,19114.46,5258486901.2
51,2017-03-22,AU9999.SHG,276.2,278.95,276.2,278.2,277725.12374606,0.8885,25607.28,7111785006.8
52,2017-03-23,AU9999.SHG,278.2,278.6,277.81,278.21,277211.70000991,0.0036,20591.88,5708310061.2
53,2017-03-24,AU9999.SHG,278.4,279.28,277.6,277.88,273111.50328923,-0.1186,23680.34,6467373255.8
54,2017-03-27,AU9999.SHG,278.35,281.0,277.88,280.53,278760.47672317,0.9536,22830.86,6364341417.6
55,2017-03-28,AU9999.SHG,280.5,281.19,280.0,280.23,280103.94517588,-0.1069,25766.76,7217371130.4
56,2017-03-29,AU9999.SHG,280.5,281.17,279.35,279.74,278784.91903041,-0.1749,36053.04,10051043837.2
57,2017-03-30,AU9999.SHG,279.52,279.99,279.3,279.6,276854.9508807,-0.05,33149.9,9177713936.2
58,2017-03-31,AU9999.SHG,278.48,279.93,277.6,277.81,275455.60630561,-0.6402,14866.76,4095132389.6
59,2017-04-05,AU9999.SHG,277.81,280.7,277.81,280.63,280183.01704785,1.0151,16383.3,4590322423.2
60,2017-04-06,AU9999.SHG,280.49,280.55,278.8,280.21,277299.54877779,-0.1497,21794.14,6043505188.0
61,2017-04-07,AU9999.SHG,280.35,284.43,279.7,282.93,281937.88092154,0.9707,22064.78,6220897316.2
62,2017-04-10,AU9999.SHG,282.9,284.48,280.51,281.39,279600.003176,-0.5443,19080.6,5334935820.6
63,2017-04-11,AU9999.SHG,281.39,281.9,280.0,281.84,278936.76175073,0.1599,21306.76,5943238637.8
64,2017-04-12,AU9999.SHG,282.49,285.6,281.5,284.41,279473.7358261,0.9119,27912.22,7800732398.6
65,2017-04-13,AU9999.SHG,285.58,300.0,284.0,286.69,284346.74903094,0.8017,33805.92,9612603450.0
66,2017-04-14,AU9999.SHG,286.99,287.0,285.8,286.6,286007.27250481,-0.0314,16836.18,4815269921.2
67,2017-04-17,AU9999.SHG,287.45,288.5,286.41,286.9,277961.03649323,0.1047,13923.68,3870240524.6
68,2017-04-18,AU9999.SHG,289.99,289.99,285.75,286.13,285729.17508133,-0.2684,21319.92,6091723154.4
69,2017-04-19,AU9999.SHG,285.8,286.69,284.9,285.75,281558.60631103,-0.1328,24022.72,6763803563.0
70,2017-04-20,AU9999.SHG,285.99,285.99,284.9,285.49,280210.69622845,-0.091,43273.44,12125680750.6
71,2017-04-21,AU9999.SHG,285.0,285.7,284.9,285.36,279101.58060473,-0.0455,30860.72,8613275730.6
72,2017-04-24,AU9999.SHG,286.0,286.82,283.45,283.57,284269.31814846,-0.6273,19895.24,5655606309.2
73,2017-04-25,AU9999.SHG,283.6,284.2,282.5,283.3,281824.41775583,-0.0952,23337.46,6577066076.4
74,2017-04-26,AU9999.SHG,289.0,289.0,281.09,282.05,281644.59034561,-0.4412,33856.1,9535387415.2
75,2017-04-27,AU9999.SHG,282.0,283.2,282.0,282.59,282082.27328409,0.1915,25355.3,7152280663.8
76,2017-04-28,AU9999.SHG,283.8,283.8,281.51,283.45,278006.01270167,0.3043,3350.74,931525867.0
77,2017-05-02,AU9999.SHG,281.99,281.99,280.8,280.94,281121.88634838,-0.8855,14836.92,4170982938.0
78,2017-05-03,AU9999.SHG,281.6,281.6,280.03,280.37,281394.47989836,-0.2029,12058.22,3393116545.4
79,2017-05-04,AU9999.SHG,289.99,289.99,275.6,276.19,277401.32923976,-1.4909,22672.96,6289509241.8
80,2017-05-05,AU9999.SHG,278.0,278.0,274.03,275.87,276484.55966919,-0.1159,19796.48,5473421055.8
81,2017-05-08,AU9999.SHG,280.5,280.5,275.0,275.5,274891.16461878,-0.1341,15153.8,4165645730.4
82,2017-05-09,AU9999.SHG,276.88,276.88,274.55,275.2,275115.20143222,-0.1089,22365.34,6153045019.2
83,2017-05-10,AU9999.SHG,275.24,275.24,273.0,273.89,274135.90694075,-0.476,27600.48,7566282616.8
84,2017-05-11,AU9999.SHG,274.88,274.88,273.6,274.26,274277.40531157,0.1351,33134.46,9088033715.2
85,2017-05-12,AU9999.SHG,274.68,275.7,273.9,275.51,274523.3776691,0.4558,21723.62,5963641537.6
86,2017-05-15,AU9999.SHG,275.39,276.5,274.65,276.29,275922.24351528,0.2831,27789.96,7667868110.4
87,2017-05-16,AU9999.SHG,276.99,278.0,276.11,276.7,276030.28090695,0.1484,24619.54,6795738542.0
88,2017-05-17,AU9999.SHG,277.49,277.88,276.31,277.61,277149.82207871,0.3289,20550.66,5695611762.6
89,2017-05-18,AU9999.SHG,280.0,281.25,278.0,279.82,277806.98717774,0.7961,24181.38,6717756323.6
90,2017-05-19,AU9999.SHG,298.0,298.0,278.21,279.26,274631.43692485,-0.2001,26753.8,7347434537.2
91,2017-05-22,AU9999.SHG,280.68,280.68,279.03,280.0,278839.46743057,0.265,24236.84,6758187557.8
92,2017-05-23,AU9999.SHG,280.0,281.6,280.0,281.4,280068.77113155,0.5,24763.92,6935600642.8
93,2017-05-24,AU9999.SHG,281.4,281.69,278.5,278.5,277992.8197348,-1.0306,22516.16,6259330808.0
94,2017-05-25,AU9999.SHG,279.75,280.5,278.7,279.75,277721.431353,0.4488,26613.98,7391272619.6
95,2017-05-26,AU9999.SHG,280.99,280.99,279.0,280.35,275185.10539068,0.2145,24087.52,6628526729.8
96,2017-05-31,AU9999.SHG,280.35,280.35,278.81,279.0,273749.29279316,-0.4815,19484.54,5333879045.4
97,2017-06-01,AU9999.SHG,279.7,280.0,278.58,278.99,276063.41386968,-0.0036,18498.48,5106753540.2
98,2017-06-02,AU9999.SHG,279.59,279.59,277.82,278.16,264829.95102283,-0.2975,52967.54,14027391024.0
99,2017-06-05,AU9999.SHG,276.8,282.0,273.0,281.87,275406.45549345,1.3338,29156.16,8029794681.4
100,2017-06-06,AU9999.SHG,278.0,283.48,278.0,283.2,279473.70669383,0.4718,28040.46,7836571293.6
101,2017-06-07,AU9999.SHG,285.0,285.0,283.2,283.75,281407.8774683,0.1942,22844.7,6428678538.4
102,2017-06-08,AU9999.SHG,283.75,283.83,282.51,282.7,283097.57310134,-0.37,37013.0,10478290473.2
103,2017-06-09,AU9999.SHG,283.19,283.19,279.5,279.72,281568.01388832,-1.0541,24763.26,6972541935.6
104,2017-06-12,AU9999.SHG,280.74,280.74,278.48,278.85,280242.09013739,-0.311,30108.26,8437601712.8
105,2017-06-13,AU9999.SHG,279.75,279.75,278.0,278.35,277620.43312501,-0.1793,30436.94,8449916465.8
106,2017-06-14,AU9999.SHG,279.6,279.72,277.8,279.3,271905.86449886,0.3413,50156.92,13637960693.2
107,2017-06-15,AU9999.SHG,279.35,281.33,277.3,277.47,271323.0482688,-0.6552,52333.18,14199197923.2
