,p00739_f001,p00739_f002,p00739_f003,p00739_f004,p00739_f005,p00739_f006,p00739_f007,p00739_f008,p00739_f009,p00739_f010,p00739_f011
1091,2019/09/26,--,--,12244.0000,33582.0000,--,--,--,--,8145.0000,8145.0000
1090,2019/09/27,--,--,9870.0000,29142.0000,--,--,--,--,7977.0000,8037.0000
1089,2019/09/30,--,--,8784.0000,26302.0000,--,--,--,--,7956.0000,7978.0000
1088,2019/10/08,--,--,8382.0000,26674.0000,--,--,--,--,7962.0000,7974.0000
1087,2019/10/09,--,--,7512.0000,27734.0000,--,--,--,--,7974.0000,7987.0000
1086,2019/10/10,--,--,5980.0000,30822.0000,--,--,--,--,7872.0000,7900.0000
1085,2019/10/11,--,--,5940.0000,32278.0000,--,--,--,--,7834.0000,7861.0000
1084,2019/10/14,--,--,5222.0000,38712.0000,--,--,--,--,7796.0000,7849.0000
1083,2019/10/15,--,--,5126.0000,50980.0000,--,--,--,--,7667.0000,7704.0000
1082,2019/10/16,--,--,4810.0000,58652.0000,--,--,--,--,7579.0000,7623.0000
1081,2019/10/17,--,--,5156.0000,66278.0000,--,--,--,--,7463.0000,7493.0000
1080,2019/10/18,--,--,5130.0000,62878.0000,--,--,--,--,7528.0000,7546.0000
1079,2019/10/21,--,--,5138.0000,60834.0000,--,--,--,--,7525.0000,7543.0000
1078,2019/10/22,--,--,4896.0000,64780.0000,--,--,--,--,7467.0000,7505.0000
1077,2019/10/23,--,--,4852.0000,68698.0000,--,--,--,--,7470.0000,7499.0000
1076,2019/10/24,--,--,4548.0000,68918.0000,--,--,--,--,7502.0000,7532.0000
1075,2019/10/25,--,--,4374.0000,68002.0000,--,--,--,--,7493.0000,7528.0000
1074,2019/10/28,--,--,4280.0000,72746.0000,--,--,--,--,7458.0000,7489.0000
1073,2019/10/29,--,--,4110.0000,78392.0000,--,--,--,--,7411.0000,7442.0000
1072,2019/10/30,--,--,4064.0000,95608.0000,--,--,--,--,7357.0000,7391.0000
1071,2019/10/31,--,--,4094.0000,101076.0000,--,--,--,--,7331.0000,7349.0000
1070,2019/11/01,--,--,4044.0000,111146.0000,--,--,--,--,7293.0000,7299.0000
1069,2019/11/04,--,--,4210.0000,115124.0000,--,--,--,--,7280.0000,7294.0000
1068,2019/11/05,--,--,4190.0000,110190.0000,--,--,--,--,7336.0000,7355.0000
1067,2019/11/06,--,--,4222.0000,114406.0000,--,--,--,--,7338.0000,7353.0000
1066,2019/11/07,--,--,4140.0000,125810.0000,--,--,--,--,7279.0000,7305.0000
1065,2019/11/08,--,--,4062.0000,152408.0000,--,--,--,--,7169.0000,7186.0000
1064,2019/11/11,--,--,4228.0000,158194.0000,--,--,--,--,7022.0000,7042.0000
1063,2019/11/12,--,--,4128.0000,165104.0000,--,--,--,--,6939.0000,6951.0000
1062,2019/11/13,--,--,4194.0000,159648.0000,--,--,--,--,7002.0000,7038.0000
1061,2019/11/14,--,--,4182.0000,162306.0000,--,--,--,--,6920.0000,6925.0000
1060,2019/11/15,--,--,4194.0000,157452.0000,--,--,--,--,6956.0000,6958.0000
1059,2019/11/18,--,--,4210.0000,155116.0000,--,--,--,--,6980.0000,6985.0000
1058,2019/11/19,--,--,4166.0000,157972.0000,--,--,--,--,6960.0000,6965.0000
1057,2019/11/20,--,--,4158.0000,168046.0000,--,--,--,--,6922.0000,6920.0000
1056,2019/11/21,--,--,4172.0000,179206.0000,--,--,--,--,6957.0000,6946.0000
1055,2019/11/22,--,--,4120.0000,185008.0000,--,--,--,--,7000.0000,6993.0000
1054,2019/11/25,--,--,4164.0000,188132.0000,--,--,--,--,7031.0000,7028.0000
1053,2019/11/26,--,--,4176.0000,189148.0000,--,--,--,--,7101.0000,7095.0000
1052,2019/11/27,--,--,3906.0000,200158.0000,--,--,--,--,7180.0000,7189.0000
1051,2019/11/28,--,--,3834.0000,201074.0000,--,--,--,--,7153.0000,7154.0000
1050,2019/11/29,--,--,3778.0000,200670.0000,--,--,--,--,7116.0000,7124.0000
