,time,thscode,open,high,low,close,avgPrice,changeRatio,volume,amount
0,2019-10-08,NHEBI.SL,1000.0,1000.0,1000.0,1000.0,,,7773,
1,2019-10-09,NHEBI.SL,1000.3765,1006.2751,996.4859,997.992,,-0.2008,16125,
2,2019-10-10,NHEBI.SL,997.741,1000.0,983.3082,984.3122,,-1.3707324307209,51323,
3,2019-10-11,NHEBI.SL,982.9317,988.9558,978.1627,982.1787,,-0.21675033591983,31958,
4,2019-10-14,NHEBI.SL,982.4297,985.1908,973.3936,975.1506,,-0.71556224951732,31793,
5,2019-10-15,NHEBI.SL,973.8956,973.8956,952.8112,959.9649,,-1.5572671544272,66053,
6,2019-10-16,NHEBI.SL,963.2279,963.3534,940.01,944.5281,,-1.6080587946497,74664,
7,2019-10-17,NHEBI.SL,942.5201,943.5241,931.8524,938.504,,-0.63778938921986,80985,
8,2019-10-18,NHEBI.SL,940.01,950.5522,937.1235,947.0382,,0.90934082326766,85523,
9,2019-10-21,NHEBI.SL,948.7952,951.9327,936.998,940.512,,-0.68911686983693,53190,
10,2019-10-22,NHEBI.SL,941.6416,942.3946,929.8444,937.3745,,-0.33359489299445,46989,
11,2019-10-23,NHEBI.SL,941.5161,943.1476,933.9859,934.6135,,-0.29454609657079,36743,
12,2019-10-24,NHEBI.SL,932.4799,946.7871,928.7149,942.3946,,0.83254735781154,70198,
13,2019-10-25,NHEBI.SL,943.7751,945.0301,935.6175,935.743,,-0.70581898495597,30630,
14,2019-10-28,NHEBI.SL,934.99,941.5161,930.0954,932.4799,,-0.34871754317158,45494,
15,2019-10-29,NHEBI.SL,932.4799,935.743,924.9498,926.5813,,-0.63257127579908,50605,
16,2019-10-30,NHEBI.SL,924.9498,928.5894,919.3022,920.6827,,-0.63659821323829,79689,
17,2019-10-31,NHEBI.SL,918.6747,922.9418,918.1727,919.3022,,-0.14994308028162,47280,
18,2019-11-01,NHEBI.SL,918.1727,922.4398,909.1365,909.6386,,-1.0511886080551,92160,
19,2019-11-04,NHEBI.SL,910.0151,918.8002,909.8896,917.6707,,0.88299902840535,63476,
20,2019-11-05,NHEBI.SL,917.7962,925.2008,916.7922,920.0552,,0.25984266469443,74284,
21,2019-11-06,NHEBI.SL,923.1928,923.9458,919.1767,919.9297,,-0.01364048591867,40894,
22,2019-11-07,NHEBI.SL,919.5532,920.6827,907.1285,910.8936,,-0.98225984007257,70347,
23,2019-11-08,NHEBI.SL,915.2861,915.4116,887.2992,889.4327,,-2.3560270925166,145994,
24,2019-11-11,NHEBI.SL,889.5582,890.6878,872.6155,873.8705,,-1.7496770694399,160600,
25,2019-11-12,NHEBI.SL,873.243,876.255,866.5914,872.3645,,-0.1723367478362,141415,
26,2019-11-13,NHEBI.SL,872.239,887.0482,871.1094,873.996,,0.18702044844786,217665,
27,2019-11-14,NHEBI.SL,875.502,876.255,862.4498,870.9839,,-0.34463544455581,152375,
28,2019-11-15,NHEBI.SL,870.9839,877.51,869.1014,872.1135,,0.12969240878047,127841,
29,2019-11-18,NHEBI.SL,872.239,880.8986,870.3564,879.0161,,0.79147954939351,124660,
30,2019-11-19,NHEBI.SL,878.1376,881.0241,867.3444,872.741,,-0.71387770940715,122896,
31,2019-11-20,NHEBI.SL,871.8624,872.239,864.4578,869.7289,,-0.34513102970985,116281,
32,2019-11-21,NHEBI.SL,869.9799,877.51,867.4699,875.251,,0.63492198546007,120694,
33,2019-11-22,NHEBI.SL,875.502,884.2871,873.745,876.757,,0.17206492766075,141658,
34,2019-11-25,NHEBI.SL,876.757,889.4327,876.757,889.3072,,1.4314342514517,137464,
35,2019-11-26,NHEBI.SL,889.1817,898.0924,883.0321,897.3394,,0.90319745527755,197000,
36,2019-11-27,NHEBI.SL,897.7159,908.007,894.3273,896.2098,,-0.12588324997208,274438,
37,2019-11-28,NHEBI.SL,898.5944,902.8614,891.8173,897.5904,,0.15404875063853,162456,
38,2019-11-29,NHEBI.SL,899.0964,899.0964,887.2992,894.2018,,-0.37752186297893,135980,
39,2019-12-02,NHEBI.SL,892.8213,896.5863,879.7691,885.5422,,-0.96841674888152,154994,
40,2019-12-03,NHEBI.SL,885.4167,902.4849,885.1657,899.4729,,1.5731266110187,192425,
41,2019-12-04,NHEBI.SL,899.8494,911.6466,898.0924,900.6024,,0.12557354423908,219269,
42,2019-12-05,NHEBI.SL,903.6145,919.1767,903.6145,916.4157,,1.7558580789925,222020,
43,2019-12-06,NHEBI.SL,919.9297,921.5612,913.7801,919.5532,,0.34236646098489,128994,
44,2019-12-09,NHEBI.SL,919.4277,940.512,912.1486,913.1526,,-0.69605543213812,304517,
45,2019-12-10,NHEBI.SL,912.3996,926.3303,911.8976,925.7028,,1.3743814560677,251130,
46,2019-12-11,NHEBI.SL,928.2129,934.1114,909.3876,912.1486,,-1.4642064386108,302141,
47,2019-12-12,NHEBI.SL,912.3996,920.0552,906.1245,919.4277,,0.79801690207056,190923,
48,2019-12-13,NHEBI.SL,920.3062,927.2088,911.2701,919.0512,,-0.040949386232323,217861,
49,2019-12-16,NHEBI.SL,919.9297,926.5813,916.4157,921.9378,,0.3140847865712,185057,
50,2019-12-17,NHEBI.SL,919.9297,934.6135,919.9297,932.4799,,1.1434719348746,172690,
51,2019-12-18,NHEBI.SL,934.99,938.755,921.5612,924.1968,,-0.88828724351056,165777,
52,2019-12-19,NHEBI.SL,925.7028,933.9859,921.6867,932.9819,,0.95056594006817,142057,
53,2019-12-20,NHEBI.SL,932.4799,936.998,927.9618,929.2169,,-0.40354480617469,140319,
54,2019-12-23,NHEBI.SL,931.2249,931.7269,918.0472,922.4398,,-0.72933456117727,170980,
55,2019-12-24,NHEBI.SL,923.1928,926.2048,919.0512,923.5693,,0.12244701497052,103511,
56,2019-12-25,NHEBI.SL,924.9498,927.7108,921.9378,922.5653,,-0.10870868055056,91565,
57,2019-12-26,NHEBI.SL,922.1888,925.5773,918.6747,924.4478,,0.20405059674367,80293,
58,2019-12-27,NHEBI.SL,924.5733,931.0994,922.6908,929.7189,,0.57018903609267,134066,
59,2019-12-30,NHEBI.SL,929.7189,931.9779,925.3263,925.5773,,-0.44546797962265,126252,
60,2019-12-31,NHEBI.SL,926.4558,928.3384,908.258,913.1526,,-1.3423730249219,212513,
61,2020-01-02,NHEBI.SL,914.6586,920.6827,911.2701,915.0351,,0.20615393308852,38941,
62,2020-01-03,NHEBI.SL,915.4116,921.8122,912.5251,918.8002,,0.41147055451752,50008,
