,time,thscode,open,high,low,close,avgPrice,changeRatio,volume,amount
0,2018-03-26,SCZL.SHF,440.0,447.1,426.3,429.9,433.8,3.3413461538461,40656,1763657.28
1,2018-03-27,SCZL.SHF,429.9,431.7,412.6,424.0,426.4,-2.2591055786077,40602,1731269.28
2,2018-03-28,SCZL.SHF,429.0,429.2,406.5,410.4,414.1,-3.7523452157599,67198,2782669.18
3,2018-03-29,SCZL.SHF,410.5,412.0,401.6,409.7,406.8,-1.0625452789181,66668,2712054.24
4,2018-03-30,SCZL.SHF,407.4,421.7,405.0,420.3,412.0,3.3185840707965,58562,2412754.4
5,2018-04-02,SCZL.SHF,420.5,421.3,413.8,416.6,417.0,1.1165048543689,24644,1027654.8
6,2018-04-03,SCZL.SHF,414.3,414.3,400.5,402.5,405.5,-3.4772182254197,52826,2142094.3
7,2018-04-04,SCZL.SHF,403.8,406.9,399.0,401.5,402.3,-0.98643649815043,44234,1779533.82
8,2018-04-09,SCZL.SHF,398.2,403.5,397.7,402.3,400.5,0.0,15470,619573.5
9,2018-04-10,SCZL.SHF,404.2,415.2,403.8,413.5,410.1,3.2459425717853,61690,2529906.9
10,2018-04-11,SCZL.SHF,415.0,421.8,414.1,417.8,418.2,1.8775908315045,66434,2778269.88
11,2018-04-12,SCZL.SHF,421.0,429.9,416.9,428.7,424.4,2.5107604017217,110076,4671625.44
12,2018-04-13,SCZL.SHF,425.3,428.7,423.3,427.0,426.1,0.61262959472197,63092,2688350.12
13,2018-04-16,SCZL.SHF,427.7,431.0,423.5,424.4,427.9,-0.39896737854965,65284,2793502.36
14,2018-04-17,SCZL.SHF,426.0,427.5,421.5,427.4,425.1,-0.11684973124562,55000,2338050.0
15,2018-04-18,SCZL.SHF,422.8,431.4,420.6,429.7,425.4,1.0820983298047,80338,3417578.52
16,2018-04-19,SCZL.SHF,435.0,444.0,432.5,440.6,437.8,3.5731076633757,84716,3708866.48
17,2018-04-20,SCZL.SHF,440.7,443.0,435.3,436.7,439.9,-0.25125628140704,68430,3010235.7
18,2018-04-23,SCZL.SHF,435.1,441.2,432.4,439.7,436.3,-0.045464878381448,70338,3068846.94
19,2018-04-24,SCZL.SHF,434.2,449.2,432.2,447.3,440.9,2.5212010084804,91590,4038203.1
20,2018-04-25,SCZL.SHF,447.0,448.9,436.6,438.0,443.2,-0.65774552052619,98992,4387325.44
21,2018-04-26,SCZL.SHF,437.1,445.0,434.4,441.4,439.4,-0.40613718411553,109256,4800708.64
22,2018-04-27,SCZL.SHF,444.0,445.5,440.4,444.2,442.5,1.0923987255348,80582,3565753.5
23,2018-05-02,SCZL.SHF,439.7,444.4,436.0,443.5,441.2,0.22598870056497,33454,1475990.48
24,2018-05-03,SCZL.SHF,441.6,448.0,439.1,447.0,442.6,1.3145965548504,111198,4921623.48
25,2018-05-04,SCZL.SHF,443.8,448.8,442.8,446.9,445.5,0.9715318572074,100694,4485917.7
26,2018-05-07,SCZL.SHF,448.3,461.6,448.3,458.3,454.7,2.8731762065095,135002,6138540.94
27,2018-05-08,SCZL.SHF,460.6,462.4,456.9,459.1,459.5,0.96767099186277,110926,5097049.7
28,2018-05-09,SCZL.SHF,459.1,466.6,445.3,465.2,455.8,1.240478781284,244268,11133735.44
29,2018-05-10,SCZL.SHF,466.3,478.4,466.0,476.4,470.6,4.5195261079421,165456,7786359.36
30,2018-05-11,SCZL.SHF,474.2,474.3,467.0,471.2,470.4,0.12749681257968,165686,7793869.44
31,2018-05-14,SCZL.SHF,471.7,472.6,462.7,465.6,468.6,-1.0204081632653,168258,7884569.88
32,2018-05-15,SCZL.SHF,467.5,475.6,467.5,472.8,471.0,0.89628681177977,150048,7067260.8
33,2018-05-16,SCZL.SHF,478.0,478.0,470.5,473.1,474.1,0.44585987261147,193836,9189764.76
34,2018-05-17,SCZL.SHF,472.0,485.3,470.5,481.9,476.8,1.6452225268931,220206,10499422.08
35,2018-05-18,SCZL.SHF,485.0,488.6,481.9,486.5,484.8,2.0343959731544,179326,8693724.48
36,2018-05-21,SCZL.SHF,484.8,486.0,477.0,482.4,482.4,-0.4950495049505,175668,8474224.32
37,2018-05-22,SCZL.SHF,480.0,486.5,478.3,485.1,482.8,0.55970149253732,133016,6422012.48
38,2018-05-23,SCZL.SHF,486.0,493.8,482.6,484.6,488.1,0.3728251864126,218094,10645168.14
39,2018-05-24,SCZL.SHF,484.5,487.4,478.1,485.0,483.0,-0.63511575496825,217168,10489214.4
40,2018-05-25,SCZL.SHF,481.1,483.8,476.6,477.4,480.6,-1.1594202898551,180374,8668774.44
41,2018-05-28,SCZL.SHF,467.4,470.5,456.6,462.8,464.3,-3.7037037037037,245594,11402929.42
42,2018-05-29,SCZL.SHF,462.5,466.0,459.2,463.8,462.7,-0.10768899418479,145200,6718404.0
43,2018-05-30,SCZL.SHF,467.0,468.3,458.5,463.9,463.4,0.25934730927166,224162,10387667.08
44,2018-05-31,SCZL.SHF,466.0,476.8,465.3,472.5,471.9,1.963746223565,234544,11068131.36
45,2018-06-01,SCZL.SHF,470.5,483.9,469.9,474.7,476.1,0.5933460478915,275006,13093035.66
46,2018-06-04,SCZL.SHF,472.9,473.1,467.6,470.9,470.6,-1.0922075194287,202210,9516002.6
47,2018-06-05,SCZL.SHF,468.7,471.4,461.6,466.2,466.1,-0.93497662558437,212376,9898845.36
48,2018-06-06,SCZL.SHF,461.7,466.7,455.8,465.0,460.7,-0.23600085818494,238464,10986036.48
49,2018-06-07,SCZL.SHF,461.0,466.0,458.0,465.8,461.8,1.1070110701107,251680,11622582.4
50,2018-06-08,SCZL.SHF,467.7,474.2,466.6,468.3,470.5,1.4075357297531,228524,10752054.2
51,2018-06-11,SCZL.SHF,469.0,476.3,466.8,467.5,470.2,-0.63761955366631,192790,9064985.8
52,2018-06-12,SCZL.SHF,466.4,473.0,463.9,472.1,469.1,0.40408336877925,235584,11051245.44
53,2018-06-13,SCZL.SHF,469.2,471.7,463.0,464.5,467.8,-0.98060115114049,217898,10193268.44
54,2018-06-14,SCZL.SHF,466.3,472.0,464.4,468.1,468.6,0.064129970072683,222996,10449592.56
55,2018-06-15,SCZL.SHF,470.7,472.2,465.5,467.2,468.2,-0.29876227059326,182254,8533132.28
56,2018-06-19,SCZL.SHF,463.1,465.5,458.0,460.3,460.7,-1.6873131140538,75788,3491553.16
57,2018-06-20,SCZL.SHF,461.1,465.7,458.8,464.2,462.2,0.75971347948774,223134,10313253.48
58,2018-06-21,SCZL.SHF,465.0,468.7,458.7,459.8,463.5,-0.51925573344872,312444,14481779.4
59,2018-06-22,SCZL.SHF,458.0,461.8,453.7,459.0,457.4,-0.97087378640777,271166,12403132.84
60,2018-06-25,SCZL.SHF,464.4,472.0,464.3,466.5,467.0,1.9895059029296,254096,11866283.2
61,2018-06-26,SCZL.SHF,468.4,471.9,465.3,471.5,468.0,0.96359743040685,184420,8630856.0
62,2018-06-27,SCZL.SHF,472.2,486.1,469.6,485.0,476.9,3.6324786324786,295640,14099071.6
63,2018-06-28,SCZL.SHF,487.0,495.0,486.3,491.0,491.9,2.9565946739358,260304,12804353.76
64,2018-06-29,SCZL.SHF,490.4,498.0,490.4,494.8,494.6,0.58955072169141,252972,12511995.12
65,2018-07-02,SCZL.SHF,498.0,510.0,497.6,501.6,502.6,1.4152850788516,283214,14234335.64
66,2018-07-03,SCZL.SHF,502.4,505.2,496.8,503.5,501.9,0.17906884202148,255268,12811900.92
67,2018-07-04,SCZL.SHF,504.1,504.5,491.3,496.7,497.7,-1.0360629607492,319660,15909478.2
68,2018-07-05,SCZL.SHF,496.0,501.8,494.4,497.6,497.2,-0.020092425155709,212576,10569278.72
69,2018-07-06,SCZL.SHF,498.8,502.0,492.8,495.7,497.7,-0.3016894609815,330606,16454260.62
70,2018-07-09,SCZL.SHF,491.0,498.7,487.0,497.7,493.5,0.0,218764,10796003.4
71,2018-07-10,SCZL.SHF,497.6,505.0,496.3,504.9,500.0,2.3100303951368,240444,12022200.0
72,2018-07-11,SCZL.SHF,506.7,511.5,502.6,507.9,507.5,1.58,291768,14807226.0
73,2018-07-12,SCZL.SHF,503.2,508.6,490.0,492.6,500.4,-2.935960591133,346284,17328051.36
