,lag,train_size,tesr_size,mse
0,1,60,5,43254.95533813511
1,1,60,20,67539.21536827912
2,1,60,60,110892.28745721116
3,1,60,120,234404.38774704968
4,1,120,5,33414.758126131506
5,1,120,20,42207.04096911434
6,1,120,60,71611.32364672354
7,1,120,120,37924.11221843306
8,1,250,5,24957.22914136332
9,1,250,20,29159.0479678824
10,1,250,60,32593.07623790213
11,1,250,120,28057.270042526547
12,1,500,5,14651.375612326292
13,1,500,20,14868.795647930672
14,1,500,60,17657.62657100861
15,1,500,120,22478.077346555907
16,3,60,5,166663.78343943303
17,3,60,20,298015.8621683137
18,3,60,60,488849.11602947157
19,3,60,120,464986.83981423103
20,3,120,5,105080.32336215985
21,3,120,20,161106.78853342868
22,3,120,60,428610.96445810853
23,3,120,120,185907.83462037882
24,3,250,5,80571.84861990905
25,3,250,20,101906.25998892245
26,3,250,60,107065.5282482275
27,3,250,120,111941.38573556798
28,3,500,5,47317.11011918551
29,3,500,20,47442.150357904335
30,3,500,60,62974.35980088034
31,3,500,120,84245.34354083425
32,5,60,5,243319.87046365967
33,5,60,20,522959.08618274913
34,5,60,60,1322354.4563991942
35,5,60,120,1561878.2494926073
36,5,120,5,164249.5113087148
37,5,120,20,277238.7320778619
38,5,120,60,737321.0176017757
39,5,120,120,433704.1024143901
40,5,250,5,131871.44955674233
41,5,250,20,162446.67007668514
42,5,250,60,205646.88296625385
43,5,250,120,187978.00319331032
44,5,500,5,87318.44634168365
45,5,500,20,91387.91122873072
46,5,500,60,137718.45240065598
47,5,500,120,168849.62264593234
48,10,60,5,298178.8069053723
49,10,60,20,922665.4929410227
50,10,60,60,2448427.9473119657
51,10,60,120,979481.2248311479
52,10,120,5,280400.9999646521
53,10,120,20,488945.41312037234
54,10,120,60,1148091.6414498528
55,10,120,120,702294.4508541627
56,10,250,5,279975.7281833013
57,10,250,20,308170.6909786794
58,10,250,60,488501.17396357853
59,10,250,120,481120.65820923884
60,10,500,5,157224.0454771322
61,10,500,20,187916.18292940967
62,10,500,60,314157.05453874776
63,10,500,120,341873.58482453885
